ip_address,country_code,country,city,latitude,longitude,mystery_value
200.106.141.15,SI,Nepal,DuBuquemouth,-84.8750309469,7.2064359334,7823011346
160.103.7.140,CZ,Nicaragua,New Neva,-68.310232966,-37.6243519962,7301823115
70.95.73.73,TL,Saudi Arabia,Gradymouth,-49.1667591886,-86.0592008442,2559997162
,PY,Falkland Islands (Malvinas),,75.4168519152,-144.6943217219,0
125.159.20.54,LI,Guyana,Port Karson,-78.2274228597,-163.2621889534,1337885276
31.185.249.104,TJ,Swaziland,New Rodrick,-9.8196929711,48.1962930517,4150731611
28.180.236.152,CY,Equatorial Guinea,South Austyn,-36.7497995235,145.7155640707,6003526404
3.95.16.184,CI,Angola,Elyseberg,25.5104833131,-130.5300725337,9850711487
54.132.203.109,GQ,Macao,Rogermouth,33.0657167559,37.3492422314,8914759140
120.99.153.8,EG,Ukraine,North Samir,-11.6100304315,-84.6242663438,9155430546
171.29.208.41,CO,Macao,North Stephania,75.7829876997,14.453115236,6963949931
192.184.51.218,RU,Morocco,Willburgh,76.7892707472,-8.6177770791,2815330924
160.168.85.54,BO,Cuba,Mohamedview,-66.2089695875,81.6294873088,8879434387
214.165.161.44,PR,Republic of Korea,West Erika,48.9202164245,14.9003995605,3829378711
187.197.68.39,MM,Zimbabwe,North Anamouth,48.8268532044,2.9300655091,8762174736
175.201.47.112,MX,Honduras,South Esperanzashire,75.2803017557,-89.3744988288,1805932472
49.117.105.135,OM,France,Everardoshire,-35.437661079,-134.6494137785,1564654215
220.235.222.173,BT,Sierra Leone,Brainchester,56.4116978336,-4.9709239995,1859518394
64.180.6.207,IL,Turkey,Lake Osvaldo,-27.032464159,118.7421099561,8971989993
53.203.64.103,SE,Bouvet Island (Bouvetoya),Carolynbury,-50.5285136769,-64.7508188568,3369105015
54.93.102.185,UY,Spain,Boganborough,-4.3509814947,-126.7709828074,1392545193
118.254.68.63,TH,Monaco,New Vernice,-8.7493537843,-84.1933997985,3496257080
185.118.77.39,PH,Germany,West Tina,17.29939658,-167.4023907562,1745140365
18.133.100.71,LR,Poland,West Aliland,51.1257858602,-128.8885804485,1503762227
39.251.147.217,KM,Italy,West Cedrickfort,42.3613134712,35.0794846006,4902574639
74.236.95.197,TH,Liechtenstein,Port Hertha,-53.9512715796,4.8173562566,7743073845
145.121.148.44,CX,Ukraine,Port Carmelochester,25.4706130945,-50.2498572777,3541816975
85.68.71.24,PA,Netherlands,New Alessiaview,-1.5710614894,174.5796302115,3326541859
183.53.100.10,PM,Kiribati,New Fannie,74.122448102,32.7859934297,7261753069
219.229.244.176,CR,Tokelau,West Josianne,-68.5090622745,-26.7426983969,3658248394
153.44.13.124,GG,Netherlands Antilles,Freedahaven,-49.3018793875,-148.7482925872,9150444484
9.197.69.209,GR,Wallis and Futuna,North Alvahhaven,-64.3701545267,139.1016869278,3788578721
41.80.34.244,UM,Mongolia,East Yasmeenmouth,-45.4921314647,-171.924583023,1048151499
129.105.245.153,CD,Lesotho,Westfurt,-44.8908387146,-139.46163648,8104869408
216.198.41.216,ES,Chile,North Daphneestad,-55.8365654418,-65.1571724206,3300835430
145.160.82.47,AZ,Benin,Lake Valentinbury,63.7136419355,-111.3644823487,8400336035
17.208.50.30,JP,Lesotho,Port Benedict,-45.5198088753,-130.0137091953,8499852634
not your IP address,HN,Benin,Fredyshire,-70.4127504099,60.1986611166,2040256925
33.173.188.44,GM,Bermuda,Lake Alexis,34.2639461414,160.1336417619,3771636519
126.66.88.240,KN,Greenland,Conroyland,-6.1088481298,121.5786443824,8552421013
140.11.174.94,AZ,Australia,New Maximus,-70.4649600396,-78.5245104782,9630706206
144.116.254.249,,,,0,0,8050339844
76.78.120.87,AU,Eritrea,Port Beaumouth,41.0203958208,4.9645957194,9818941430
90.17.18.235,WF,Monaco,Lake Benniebury,40.2944705529,12.9443032015,3945296384
163.183.181.106,EE,Martinique,Margarettmouth,-54.4517707529,-57.1305066719,7437409077
85.68.71.24,PA,Netherlands,New Alessiaview,-1.5710614894,174.5796302115,3326541859
2.172.178.11,NP,Niue,East Lucindaview,9.2042993243,-155.7123263158,5817920166
190.200.217.78,FK,Gambia,Kuvalisborough,-38.7805292904,-179.82525092,7683919075
124.156.102.141,LS,Grenada,Balistrerishire,-21.8847294308,-170.1340538495,3636302964
43.69.252.231,MP,Qatar,Lake Ivahport,,,0
116.20.8.160,EE,Niger,Turnertown,13.0583444591,-12.959284661,6751730687
152.159.31.208,GA,"Virgin Islands, British",Lake Wavatown,12.9648042778,-56.6562088302,1878158074
73.178.254.104,,,,0,0,4208175604
not your IP address,GU,Ukraine,Kutchside,15.4759879481,85.7153579415,1849048103
112.192.176.61,GM,Thailand,Colbymouth,47.9818309817,-58.8300695805,5876301307
13.28.57.41,GD,Belarus,North Stevie,2.0101362034,120.5555455748,7090035087
75.3.54.98,MM,Jamaica,Fadelland,51.2640191695,129.6518133578,3702721287
166.174.79.134,KY,Palestinian Territory,East Clarissamouth,-59.2296702915,176.2779156915,1034381116
5.141.116.88,TV,Oman,Janelleberg,-1.3086780761,-86.3869816239,6121311718
146.227.112.130,CZ,Rwanda,Helmerberg,52.9835689577,72.0464328675,1131209441
87.151.220.127,IT,Gibraltar,Paulaton,81.1938333258,9.7655466022,4811695567
217.79.113.97,BB,Denmark,Predovicville,18.7253746791,-58.2775853585,3293216505
112.160.62.25,42,Turks and Caicos Islands,Furmanburgh,52.0219856148,-159.9719272068,0
51.23.171.108,SK,Slovakia (Slovak Republic),Mrazview,,,0
9.215.149.229,SZ,United Arab Emirates,South Jeanie,-58.542181486,38.0270101495,1400794982
85.175.199.150,TW,Saudi Arabia,Deckowtown,25.6561924125,-163.7348649683,3962329634
39.66.36.12,BL,Congo,Lake Dejon,1.143729022,131.0989736978,8003605706
158.76.44.237,IQ,French Southern Territories,Mullerchester,22.8667565388,-14.0258209612,2273135845
109.35.218.64,PF,Ghana,Stehrshire,82.284340119,-119.8865674979,7306537378
156.120.26.135,DZ,Isle of Man,Lake Missouri,-71.903128995,-20.3497494359,5650032115
190.71.178.146,ET,Rwanda,Cassinport,-2.8558482389,-120.3804201942,1510923767
31.43.251.232,AD,Venezuela,Hahnberg,62.3036816152,-48.1149101258,7131947296
133.178.19.134,ET,Argentina,Lueilwitzborough,-51.2663292053,-167.0169967375,3077460868
63.239.72.29,WS,Dominica,Port Theresechester,-50.4864870022,130.2063384126,8345843102
85.68.71.24,PA,Netherlands,New Alessiaview,-1.5710614894,174.5796302115,3326541859
67.76.216.145,AZ,Guam,Port Nedra,53.8077156696,4.8764549929,8364764541
74.39.92.165,BD,Martinique,West Kyler,-74.8145626334,125.4283030427,1663302320
97.26.181.157,CA,Kazakhstan,Lake Gage,76.0488607081,159.6329450124,3105887921
221.220.66.211,,,,0,0,7813589096
146.28.225.119,AF,Brazil,Teagantown,41.6025356535,-73.8870667487,7286756817
102.208.216.103,CU,Serbia,North Jairo,48.9714482367,-164.1334434225,6285592952
15.202.209.135,PG,Tokelau,Wilkinsonstad,-74.4838594631,-74.8741471057,6296441496
47.84.249.170,SE,Gibraltar,Nathanielside,-7.4572265642,170.1318037462,2256985727
not your IP address,ZW,Ghana,Lake Zelda,-6.2351252391,-146.9381918085,5351486108
171.117.32.62,AD,Belarus,Adolphusfurt,-6.9504432402,-165.0050387976,6692201581
118.2.118.232,KY,Taiwan,Davionport,13.8533259143,-135.0308659763,7678045764
75.195.196.5,UA,Bouvet Island (Bouvetoya),North Kierafort,-84.7633841638,-173.114383234,7720065952
162.142.20.215,SX,French Polynesia,East Mafaldahaven,-69.2451231514,21.5102165321,8898513675
41.166.155.45,GG,Niger,Andrehaven,-50.6165324324,-67.7552275568,5983896781
5.32.28.197,IT,Romania,New Octavia,-57.5253349202,106.0879376066,6764537798
188.182.206.103,GS,Svalbard & Jan Mayen Islands,New Annie,1.1510021656,52.267331866,2415498884
157.184.32.99,NG,Portugal,Kreigerton,55.9236483232,-127.4389689541,4610712314
190.111.241.50,JE,Timor-Leste,New Ednaton,1.3858804499,-98.8711210109,9637281737
105.9.99.63,LT,British Indian Ocean Territory (Chagos Archipelago),Jennyfermouth,-33.4026864574,23.3307818398,9016840356
48.116.128.144,SI,Vietnam,Roobstad,-3.0339848477,34.2579485433,1301057514
25.200.84.84,BJ,Samoa,Rodricktown,64.6174885286,83.8520863931,2230985056
150.80.188.127,MH,Israel,West Ethylburgh,-64.5501947215,134.4832961969,1503023995
106.64.22.96,SJ,Saint Vincent and the Grenadines,Dasiahaven,20.7746378593,-64.2809460597,5665229302
130.110.204.26,ZW,French Polynesia,Port Abnershire,4.0626386518,148.8114619225,5505129663
79.224.57.45,RU,Benin,New Kyle,78.9207038745,151.5298484159,1557789257
18.160.236.44,MH,Colombia,Everardoburgh,71.9782241738,-78.7923010437,2210362208
94.72.138.227,LB,Indonesia,Wintheiserville,-26.0558312055,83.4651670459,9182685200
165.248.110.40,CH,French Polynesia,Lueilwitzshire,2.6182167107,-124.6145694728,6435306936
114.242.56.225,SX,Brunei Darussalam,Lake Jamirville,,,0
170.23.195.206,VA,Finland,Juanitaborough,-62.3396825213,-62.8426790518,9925943667
114.81.43.186,TK,Saint Pierre and Miquelon,New Cristina,-20.7013908338,-71.6871623705,1886471695
29.47.210.73,MN,Qatar,Josephmouth,-15.9835146183,8.3147038401,9168779407
131.32.190.243,FJ,Jersey,North Shannonchester,-58.8458564096,20.8400199125,5773434625
